'James', 'E', 'Jordan', '888665151', '10-NOV-1927', '450 Stone,Houston,TX', 'M', 55000, null, 1
'Jeff', 'H', 'Chase', '333333301', '07-JAN-1970', '15 Bradbury,Sacramento,CA', 'M', 44000, '333333300', 6
'Bonnie', 'S', 'Bays', '444444401', '19-JUN-1956', '111 Hollow,Milwaukee,WI', 'F', 70000, '444444400', 7
'Alec', 'C', 'Best', '444444402', '18-JUN-1966', '233 Solid,Milwaukee,WI', 'M', 60000, '444444400', 7
'Sam', 'S', 'Snedden', '444444403', '31-JUL-1977', '97 Windy St,Milwaukee,WI', 'M', 48000, '444444400', 7
'Nandita', 'K', 'Ball', '555555501', '16-APR-1969', '222 Howard,Sacramento,CA', 'M', 62000, '555555500', 6
'Bob', 'B', 'Bender', '666666600', '17-APR-1968', '8794 Garfield,Chicago,IL', 'M', 96000, null, 8
'Jill', 'J', 'Jarvis', '666666601', '14-JAN-1966', '6234 Lincoln,Chicago,IL', 'F', 36000, '666666600', 8
'Kate', 'W', 'King', '666666602', '16-APR-1966', '1976 Boone Trace,Chicago,IL', 'F', 44000, '666666600', 8
'Lyle', 'G', 'Leslie', '666666603', '09-JUN-1963', '417 Hancock Ave,Chicago,IL', 'M', 41000, '666666601', 8
'Billie', 'J', 'King', '666666604', '01-JAN-1960', '556 Washington,Chicago,IL', 'F', 38000, '666666603', 8
'Megan', 'G', 'Jones', '254937381', '02-MAR-1961', '528 Stone CT,Chicago,IL', 'F', 62000, '666666600', 8
'Jon', 'A', 'Kramer', '666666605', '22-AUG-1964', '1988 Windy Creek,Seattle,WA', 'M', 41500, '666666603', 8
'Ray', 'H', 'King', '666666606', '16-AUG-1949', '213 Delk Road,Seattle,WA', 'M', 44500, '666666604', 8
'Gerald', 'D', 'Small', '666666607', '15-MAY-1962', '122 Ball Street,Dallas,TX', 'M', 29000, '666666602', 8
'Arnold', 'A', 'Head', '666666608', '19-MAY-1967', '233 Spring St,Dallas,TX', 'M', 33000, '666666602', 8
'Helga', 'C', 'Pataki', '666666609', '11-MAR-1969', '101 Holyoke St,Dallas,TX', 'F', 32000, '666666602', 8
'Naveen', 'B', 'Drew', '666666610', '23-MAY-1970', '198 Elm St,Philadelphia,PA', 'M', 34000, '666666607', 8
'Carl', 'E', 'Reedy', '666666611', '21-JUN-1977', '213 Ball St,Philadelphia,PA', 'M', 32000, '666666610', 8
'Sammy', 'G', 'Hall', '666666612', '11-JAN-1970', '433 Main Street,Miami,FL', 'M', 37000, '666666611', 8
'Red', 'A', 'Bacher', '666666613', '21-MAY-1980', '196 Elm Street,Miami,FL', 'M', 33500, '666666612', 8
'Roy', 'C', 'Lewallen', '999999999', '02-MAR-1977', '14 Wynncrest Street,Dallas,TX', 'M', 75500, '666666600', 8
'John', 'T', 'Ed', '222333444', '18-FEB-1981', '4505 West St,Rochester,NY', 'M', 30000, '555555501', 6
'Jennifer', 'A', 'Joy', '223344667', '19-MAY-1976', '1204 Main St,Miami,FL', 'F', 45000, '666666613', 8
'Kim', 'G', 'Ted', '444222666', '15-APR-1968', '3648 Tree Cir,Austin,TX', 'M', 50000, '999999999', 8
'Juan', 'G', 'Linda', '112244668', '23-JUN-1965', '1210 Apple St,Austin,TX', 'F', 55000, null, 9
'Jose', 'H', 'Barbara', '343434344', '28-FEB-1955', '905 East St,Kleen,TX', 'F', 35000, '444444400', 6
'willie', 'D', 'Mary', '234234234', '20-DEC-1961', '101 South St,Arlington,TX', 'F', 12000, '112244668', 9
'Erin', 'A', 'Maxfield', '242535609', '22-DEC-1971', '123 Copper St,Arlington,TX', 'F', 72000, '555555500', 8
'Sunil', 'D', 'Gupta', '110110110', '01-FEB-2001', '4312 Bowen Rd,Arlington,TX', 'M', 80000, '111111100', 3
'Penny', 'G', 'Wolowitz', '673466642', '21-JAN-1974', '42 South Blvd,Miami,FL', 'F', 17000, '222333444', 6
'Michael', 'A', 'Morgan', '636669233', '11-MAY-1984', '26 Sunset Blvd,Miami,FL', 'M', 73500, '666666612', 5
'Sheldon', 'C', 'Cucuou', '849934919', '22-MAR-1974', '11 Hollywood Blvd,Dallas,TX', 'M', 35500, '888665555', 8
'Debra', 'T', 'Hall', '202843824', '11-MAR-1983', '45 NY St,Rochester,NY', 'F', 30000, '555555501', 6
'Jisha', 'A', 'Carpenter', '292740167', '29-MAY-1985', '194 Beachdr,Miami,FL', 'F', 15000, '666666613', 1
'Gregory', 'G', 'Laurie', '444212096', '15-SEP-1969', '78 Tree Cir,Houston,TX', 'M', 90000, '444444400', 7
'Lisa', 'G', 'House', '101248268', '29-JUN-1975', '12 Maple St,Austin,TX', 'F', 85000, null, 7
'Leonard', 'H', 'Moody', '349273344', '09-FEB-1973', '908 Greek Row,Austin,TX', 'M', 45000, '444444400', 7
'Jake', 'D', 'Sheen', '245239264', '25-DEC-1954', '20 North Co,Arlington,TX', 'M', 52000, '112244668', 6
'Wilson', 'A', 'Holmes', '242916639', '02-JUN-1971', '21 South Co,Arlington,TX', 'M', 72500, '555555500', 4
'Cameron', 'D', 'Thirteen', '111422203', '04-MAY-2001', '22 Univ Blvd,Arlington,TX', 'F', 80000, '987987987', 4
'Joseph', 'K', 'Kirkish', '913323708', '04-MAR-1996', '22 UT Blvd,Austin,TX', 'M', 95000, null, 7
'Andrea', 'M', 'Sondrini', '614370310', '30-DEC-1996', '1450 Worthington St,Houston,TX', 'F', 65000, '444444401', 5
'Cindy', 'K', 'Burklow', '432765098', '23-FEB-1984', '2015 Neil Ave,Miami,FL', 'F', 45000, '444444402', 6
'Zach', 'A', 'Geller', '913353347', '15-AUG-1990', '333 PikeWay,Seattle,WA', 'M', 55000, '444444403', 6
'Alex', 'C', 'Yu', '001614905', '17-OCT-1980', '626 Mary St,Dallas,TX', 'M', 50000, '444444400', 6
'Richard', 'T', 'Koelbel', '214370999', '3-APR-1976', '50 Elk St,Chicago,IL', 'M', 85000, '999999999', 4
'Christina', 'S', 'Hisel', '241625699', '5-JUL-1986', '37 Church Row,Rochester,NY', 'F', 45000, '123456789', 6
'Percy', 'M', 'Liang', '398172999', '12-JUN-1991', '14 Maple St,Austin,TX', 'M', 55000, null, 9
'James', 'U', 'Miller', '906218888', '27-MAY-1978', '13 Fifth St,Seattle,WA', 'M', 75000, '999999999', 5
